label,text
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
1,month fail break amazon stock close record high thank prime day annual sale bonanza kick monday what happen 2020 analyst estim amazon prime day notch sale billion 105 billion sale rush economi reopen could encourag even bigger spend time around consum arm excess save adob analyt think spend could reach 11 billion amazon amzn share risen six past nine trade session 13 alltim peak reach septemb 2020
1,problem come amazon tri boost role independ merchant play event last year includ million global discount thirdparti seller make close 60 amazon 236 billion annual retail sale amazon share also broader pressur investor weigh signal feder reserv could rais interest rate sooner expect rockbottom rate boon fastgrow compani like amazon theyv help keep yield govern bond extrem low boost interest riskier invest like stock offer better return
1,concern rate rise come year investor may start consid park money elsewher alreadi make choic amazon stock yeartod far mute 76 gain notch 2020 appl stock actual 17 2021 gain 81 last year big tech name fare better googl parent alphabet googl 37 far year beat last year 31 rise clear amazon battl mood shift even 2021 prime day success
